%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1651207310777810928,1094,1651207310776607063,imu_link,-3.38663902283e-05,6.53706455231e-06,5.26352729797e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310790449690,1095,1651207310788598326,imu_link,-3.46263008118e-05,8.02941989899e-06,5.40635414124e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310795762018,1096,1651207310794507303,imu_link,-3.31339454651e-05,8.07519721985e-06,5.61601600647e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310807603513,1097,1651207310806465923,imu_link,-3.38572349548e-05,5.04470968246e-06,5.12161636353e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310818841155,1098,1651207310818363762,imu_link,-3.08542137146e-05,7.28781986237e-06,5.33310966492e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310824845002,1099,1651207310824519960,imu_link,-3.38663902283e-05,8.02941989899e-06,5.40635414124e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310837055446,1100,1651207310836576948,imu_link,-3.53679008484e-05,7.26950883865e-06,5.26627388e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310849325996,1101,1651207310848497082,imu_link,-3.23648796082e-05,8.04773139954e-06,5.47502059937e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310854784875,1102,1651207310854386929,imu_link,-3.53862113953e-05,8.07519721985e-06,5.61693153381e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310867096949,1103,1651207310866476660,imu_link,-3.38572349548e-05,7.99279785156e-06,5.19669189453e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310878630884,1104,1651207310878217730,imu_link,-3.31064796448e-05,1.09408855438e-05,5.27176742554e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310884742742,1105,1651207310884305210,imu_link,-3.61369667053e-05,1.10232858658e-05,5.69292259216e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310898041485,1106,1651207310896705144,imu_link,-3.46171455383e-05,8.75270843506e-06,5.33768730164e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310909992086,1107,1651207310908580941,imu_link,-3.46263008118e-05,5.84124279022e-06,5.47227401733e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310915691469,1108,1651207310914626311,imu_link,-3.46171455383e-05,1.02359085083e-05,5.41093177795e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310927547363,1109,1651207310926466176,imu_link,-3.23740348816e-05,9.5309305191e-06,5.54826507568e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310940157863,1110,1651207310938688034,imu_link,-3.38755455017e-05,9.51261901855e-06,5.47868270874e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
